,0,1,2,3
0,Dep. Variable:,CAPM,  R-squared:         ,0.001
1,Model:,OLS,  Adj. R-squared:    ,0.001
2,Method:,Least Squares,  F-statistic:       ,9.009
3,Date:,"Fri, 19 May 2023",  Prob (F-statistic):,2.78E-16
4,Time:,16:57:02,  Log-Likelihood:    ,1.19E+05
5,No. Observations:,72538,  AIC:               ,-2.38E+05
6,Df Residuals:,72526,  BIC:               ,-2.38E+05
7,Df Model:,11,                     , 
8,Covariance Type:,nonrobust,                     , 
