,0,1,2,3
0,Dep. Variable:,CAPM,  R-squared:         ,   0.017
1,Model:,OLS,  Adj. R-squared:    ,   0.016
2,Method:,Least Squares,  F-statistic:       ,   44.16
3,Date:,"Fri, 19 May 2023",  Prob (F-statistic):,1.48e-240
4,Time:,14:44:49,  Log-Likelihood:    ,  22567.
5,No. Observations:, 72538,  AIC:               ,-4.508e+04
6,Df Residuals:, 72509,  BIC:               ,-4.481e+04
7,Df Model:,    28,                     , 
8,Covariance Type:,nonrobust,                     , 
